Ед. оборудов.,Техместо,Тип техкарты,Группа,СчтГрупТехкарт,Группа_СчетГруппТехкарт,"Трудоёмкость ТК, ч","Продолжительность операций ТК, ч",Описание,Завод,Гр. плановиков,Стратегия,Внешний ид.,Метка удаления,Монтажный узел,Статус,Дата изменения,Дата создания,Рабочее место,Завод РабМесто,Действит. с,ИндУдаления
,,A,A0005377,ТР,A0005377_ТР,"24,000","12,000",Текущий ремонт,1100,100,1-0206,48843_30417,,960005377,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005378,Т1,A0005378_Т1,"24,000","12,000",Текущий ремонт 1,1100,100,2-0355,49680_30418,,960005378,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005378,Т2,A0005378_Т2,"48,000","24,000",Текущий ремонт 2,1100,100,2-0355,49681_30418,,960005378,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005378,ТО,A0005378_ТО,"3,000","3,000",Техническое обслуживание,1100,100,2-0355,49679_30418,,960005378,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005379,Т1,A0005379_Т1,"48,000","12,000",Текущий ремонт 1,1100,100,2-0596,49765_30419,,960005379,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005379,Т2,A0005379_Т2,"72,000","24,000",Текущий ремонт 2,1100,100,2-0596,49766_30419,,960005379,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005379,ТО,A0005379_ТО,"2,000","2,000",Техническое обслуживание,1100,100,2-0596,49764_30419,,960005379,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005380,Т1,A0005380_Т1,"6,000","6,000",Текущий ремонт 1,1100,100,1-0205,45519_30420,,960005380,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005380,Т2,A0005380_Т2,"20,000","10,000",Текущий ремонт 2,1100,100,1-0205,45526_30420,,960005380,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005380,ТО,A0005380_ТО,"2,000","2,000",Техническое обслуживание,1100,100,1-0205,45518_30420,,960005380,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
